payment_id,customer_id,merchant_id,amount,timestamp,failure_code,failure_category,previous_successes,previous_failures,retry_count,customer_ltv,subscription_age_days,days_since_last_payment,payment_method,contact_channel_pref,ground_truth_recoverable,ground_truth_best_action,outcome,is_planted_edge_case
PMT-00001,CUST-0655,MER-001,209.29,2026-06-19T04:07:07,BANK_TIMEOUT,TEMPORARY,6,5,0,1312.15,894,32,CARD,EMAIL,True,RETRY_NOW,RECOVERED,False
PMT-00002,CUST-0559,MER-004,335.3,2026-08-15T02:06:34,ISSUER_UNAVAILABLE,TEMPORARY,48,1,3,14543.97,726,33,UPI,WHATSAPP,True,RETRY_LATER,RECOVERED,False
PMT-00003,CUST-0100,MER-003,3216.77,2026-08-14T20:44:42,BANK_TIMEOUT,TEMPORARY,29,4,0,88673.5,805,45,CARD,WHATSAPP,True,RETRY_NOW,RECOVERED,False
PMT-00004,CUST-0047,MER-002,4933.5,2026-08-19T13:02:05,INSUFFICIENT_FUNDS,AMBIGUOUS,6,3,2,30546.31,958,45,NETBANKING,EMAIL,True,RETRY_LATER,RECOVERED,False
PMT-00005,CUST-0719,MER-001,1270.12,2026-08-07T06:59:18,INSUFFICIENT_FUNDS,AMBIGUOUS,29,3,2,33576.92,1170,26,UPI,EMAIL,True,RETRY_LATER,RECOVERED,False
PMT-00006,CUST-0217,MER-005,19160.5,2026-07-31T03:16:58,CARD_DECLINED_SOFT,AMBIGUOUS,41,3,1,740336.0,572,29,UPI,SMS,False,STOP,NOT_RECOVERED,False
PMT-00007,CUST-0920,MER-005,186.95,2026-06-10T22:20:10,CARD_DECLINED_SOFT,AMBIGUOUS,5,0,0,379.95,343,38,CARD,EMAIL,True,RETRY_LATER,RECOVERED,False
PMT-00008,CUST-0258,MER-005,5516.65,2026-08-06T11:24:12,BANK_TIMEOUT,TEMPORARY,34,2,2,154771.3,258,34,CARD,SMS,True,RETRY_LATER,NOT_RECOVERED,False
PMT-00009,CUST-0270,MER-005,2784.57,2026-06-07T19:57:18,ISSUER_UNAVAILABLE,TEMPORARY,19,5,1,45294.45,343,41,WALLET,SMS,True,RETRY_NOW,RECOVERED,False
PMT-00010,CUST-0372,MER-003,195.59,2026-07-22T14:02:14,ISSUER_UNAVAILABLE,TEMPORARY,5,5,3,1045.47,171,42,NETBANKING,EMAIL,True,RETRY_LATER,RECOVERED,False
PMT-00011,CUST-0272,MER-005,24041.21,2026-06-18T01:31:32,ISSUER_UNAVAILABLE,TEMPORARY,48,5,1,980790.76,668,36,CARD,SMS,False,RETRY_LATER,NOT_RECOVERED,False
PMT-00012,CUST-0347,MER-001,1535.52,2026-06-18T21:08:37,BANK_TIMEOUT,TEMPORARY,45,5,0,64906.13,498,27,WALLET,WHATSAPP,False,RETRY_LATER,NOT_RECOVERED,False
PMT-00013,CUST-0686,MER-004,152.06,2026-08-22T04:06:05,CARD_DECLINED_HARD,PERMANENT,30,1,3,4155.85,863,38,CARD,SMS,True,RETRY_LATER,RECOVERED,False
PMT-00014,CUST-0670,MER-001,391.01,2026-08-14T05:30:56,ISSUER_UNAVAILABLE,TEMPORARY,15,1,1,5607.3,1128,39,UPI,EMAIL,True,RETRY_NOW,NOT_RECOVERED,False
PMT-00015,CUST-0078,MER-004,4351.85,2026-06-07T00:08:37,BANK_TIMEOUT,TEMPORARY,34,0,0,138204.19,514,31,NETBANKING,WHATSAPP,True,RETRY_NOW,RECOVERED,False
PMT-00016,CUST-0400,MER-003,40330.82,2026-06-25T04:40:43,CARD_DECLINED_SOFT,AMBIGUOUS,46,4,3,1750142.55,347,31,UPI,WHATSAPP,False,STOP,NOT_RECOVERED,False
PMT-00017,CUST-0766,MER-003,333.26,2026-07-16T07:43:34,ISSUER_UNAVAILABLE,TEMPORARY,33,1,0,10272.2,1070,44,UPI,WHATSAPP,True,RETRY_NOW,PENDING,False
PMT-00018,CUST-0584,MER-002,678.84,2026-06-05T11:02:06,CARD_DECLINED_SOFT,AMBIGUOUS,37,4,2,23025.31,564,31,CARD,EMAIL,False,STOP,NOT_RECOVERED,False
PMT-00019,CUST-0661,MER-003,4680.58,2026-06-04T13:02:15,BANK_TIMEOUT,TEMPORARY,39,4,0,153482.03,180,29,WALLET,WHATSAPP,True,RETRY_NOW,RECOVERED,False
PMT-00020,CUST-0162,MER-004,3665.93,2026-07-26T21:18:44,ISSUER_UNAVAILABLE,TEMPORARY,41,4,0,133233.29,1165,34,WALLET,EMAIL,True,RETRY_NOW,RECOVERED,False
PMT-00021,CUST-0912,MER-001,1199.52,2026-06-24T20:32:22,CARD_DECLINED_HARD,PERMANENT,45,2,1,46757.15,570,26,UPI,SMS,True,RETRY_LATER,RECOVERED,False
PMT-00022,CUST-0790,MER-002,1678.8,2026-08-08T11:11:35,CARD_DECLINED_SOFT,AMBIGUOUS,45,3,0,67904.63,259,27,WALLET,SMS,False,ESCALATE_HUMAN,RECOVERED,False
PMT-00023,CUST-0379,MER-005,2434.04,2026-06-01T13:28:05,CARD_EXPIRED,CUSTOMER_ACTION_NEEDED,2,2,1,2113.75,541,42,NETBANKING,SMS,True,SEND_UPDATE_LINK,RECOVERED,False
PMT-00024,CUST-0953,MER-002,48929.27,2026-08-15T05:14:06,INSUFFICIENT_FUNDS,AMBIGUOUS,26,0,1,1065688.36,710,38,NETBANKING,WHATSAPP,True,RETRY_LATER,RECOVERED,False
PMT-00025,CUST-0807,MER-001,114.53,2026-07-13T04:47:14,INSUFFICIENT_FUNDS,AMBIGUOUS,29,2,2,3046.2,496,37,UPI,WHATSAPP,True,RETRY_LATER,RECOVERED,False
PMT-00026,CUST-0657,MER-005,492.44,2026-07-19T13:28:23,CARD_EXPIRED,CUSTOMER_ACTION_NEEDED,1,0,2,1869.05,395,43,WALLET,EMAIL,True,SEND_UPDATE_LINK,RECOVERED,False
PMT-00027,CUST-0747,MER-003,4929.06,2026-06-08T17:28:27,CARD_DECLINED_SOFT,AMBIGUOUS,36,1,2,159554.66,120,42,CARD,WHATSAPP,True,RETRY_LATER,RECOVERED,False
